Anno,RS NP (t),RS P (t),RS codice CER ND (t),Totale (t)
2019,559.86,41.859,-,601.719
2018,560.009,44.179,-,604.188
2017,428.314,44.713,-,473.027
2016,434.987,37.011,-,471.998
2015,412.193,36.013,-,448.206
2014,320.385,35.12,2,355.507
