NOME_PRO,ABB_PRO,  10: manufacture of food products,    101: processing and preserving of meat and production of meat products,      1011: processing and preserving of meat,      1012: processing and preserving of poultry meat,      1013: production of meat and poultry meat products,"    102: processing and preserving of fish, crustaceans and molluscs","      1020: processing and preserving of fish, crustaceans and molluscs",    103: processing and preserving of fruit and vegetables,      1031: processing and preserving of potatoes,      1032: manufacture of fruit and vegetable juice,      1039: other processing and preserving of fruit and vegetables,    104: manufacture of vegetable and animal oils and fats,      1041: manufacture of oils and fats,      1042: manufacture of margarine and similar edible fats,    105: manufacture of dairy products,      1051: operation of dairies and cheese making,      1052: manufacture of ice cream,"    106: manufacture of grain mill products, starches and starch products",      1061: manufacture of grain mill products,      1062: manufacture of starches and starch products,    107: manufacture of bakery and farinaceous products,"      1071: manufacture of bread, manufacture of fresh pastry goods and cakes","      1072: manufacture of rusks and biscuits, manufacture of preserved pastry goods and cakes","      1073: manufacture of macaroni, noodles, couscous and similar farinaceous products",    108: manufacture of other food products,      1081: manufacture of sugar,"      1082: manufacture of cocoa, chocolate and sugar confectionery",      1083: processing of tea and coffee,      1084: manufacture of condiments and seasonings,      1085: manufacture of prepared meals and dishes,      1086: manufacture of homogenised food preparations and dietetic food,      1089: manufacture of other food products n.e.c.,    109: manufacture of prepared animal feeds,      1091: manufacture of prepared feeds for farm animals,      1092: manufacture of prepared pet foods
Bologna,BO,616.0,29.0,8.0,0.0,21.0,2.0,2.0,16.0,2.0,3.0,11.0,3.0,2.0,1.0,25.0,19.0,6.0,11.0,10.0,1.0,420.0,285.0,9.0,126.0,104.0,2.0,4.0,45.0,4.0,22.0,4.0,23.0,6.0,2.0,4.0
Ferrara,FE,304.0,17.0,7.0,1.0,9.0,3.0,3.0,13.0,2.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,9.0,0.0,231.0,185.0,3.0,43.0,25.0,0.0,3.0,5.0,0.0,7.0,1.0,9.0,5.0,3.0,2.0
Forlì Cesena,FC,393.0,25.0,10.0,5.0,10.0,3.0,3.0,9.0,2.0,0.0,7.0,7.0,7.0,0.0,9.0,8.0,1.0,17.0,17.0,0.0,263.0,222.0,4.0,37.0,47.0,0.0,5.0,15.0,1.0,9.0,0.0,17.0,13.0,12.0,1.0
Modena,MO,776.0,133.0,51.0,2.0,80.0,1.0,1.0,14.0,5.0,0.0,9.0,5.0,5.0,0.0,61.0,58.0,3.0,14.0,14.0,0.0,391.0,321.0,2.0,68.0,143.0,0.0,5.0,23.0,64.0,18.0,3.0,30.0,14.0,12.0,2.0
Parma,PR,872.0,355.0,26.0,0.0,329.0,5.0,5.0,19.0,1.0,0.0,18.0,6.0,6.0,0.0,219.0,218.0,1.0,17.0,17.0,0.0,177.0,145.0,3.0,29.0,61.0,0.0,0.0,14.0,2.0,18.0,2.0,25.0,13.0,10.0,3.0
Piacenza,PC,243.0,32.0,8.0,1.0,23.0,1.0,1.0,11.0,1.0,1.0,9.0,2.0,2.0,0.0,24.0,24.0,0.0,10.0,10.0,0.0,126.0,96.0,1.0,29.0,31.0,0.0,3.0,5.0,1.0,10.0,0.0,12.0,6.0,6.0,0.0
Ravenna,RA,361.0,14.0,6.0,1.0,7.0,0.0,0.0,16.0,0.0,2.0,14.0,3.0,2.0,1.0,4.0,1.0,3.0,11.0,11.0,0.0,258.0,208.0,5.0,45.0,49.0,0.0,3.0,14.0,1.0,12.0,1.0,18.0,6.0,5.0,1.0
Reggio Emilia,RE,530.0,50.0,19.0,4.0,27.0,0.0,0.0,8.0,0.0,2.0,6.0,3.0,3.0,0.0,97.0,93.0,4.0,14.0,14.0,0.0,269.0,219.0,10.0,40.0,65.0,0.0,1.0,12.0,17.0,10.0,0.0,25.0,24.0,21.0,3.0
Rimini,RN,282.0,13.0,6.0,0.0,7.0,2.0,2.0,7.0,2.0,0.0,5.0,14.0,14.0,0.0,4.0,2.0,2.0,12.0,12.0,0.0,165.0,132.0,2.0,31.0,63.0,0.0,4.0,15.0,1.0,7.0,3.0,33.0,2.0,2.0,0.0
