NOME_PRO,ABB_PRO,  10: manufacture of food products,    101: processing and preserving of meat and production of meat products,      1011: processing and preserving of meat,      1012: processing and preserving of poultry meat,      1013: production of meat and poultry meat products,"    102: processing and preserving of fish, crustaceans and molluscs","      1020: processing and preserving of fish, crustaceans and molluscs",    103: processing and preserving of fruit and vegetables,      1031: processing and preserving of potatoes,      1032: manufacture of fruit and vegetable juice,      1039: other processing and preserving of fruit and vegetables,    104: manufacture of vegetable and animal oils and fats,      1041: manufacture of oils and fats,      1042: manufacture of margarine and similar edible fats,    105: manufacture of dairy products,      1051: operation of dairies and cheese making,      1052: manufacture of ice cream,"    106: manufacture of grain mill products, starches and starch products",      1061: manufacture of grain mill products,      1062: manufacture of starches and starch products,    107: manufacture of bakery and farinaceous products,"      1071: manufacture of bread, manufacture of fresh pastry goods and cakes","      1072: manufacture of rusks and biscuits, manufacture of preserved pastry goods and cakes","      1073: manufacture of macaroni, noodles, couscous and similar farinaceous products",    108: manufacture of other food products,      1081: manufacture of sugar,"      1082: manufacture of cocoa, chocolate and sugar confectionery",      1083: processing of tea and coffee,      1084: manufacture of condiments and seasonings,      1085: manufacture of prepared meals and dishes,      1086: manufacture of homogenised food preparations and dietetic food,      1089: manufacture of other food products n.e.c.,    109: manufacture of prepared animal feeds,      1091: manufacture of prepared feeds for farm animals,      1092: manufacture of prepared pet foods
Bologna,BO,16.79,32.72,64.58,0.0,20.59,87.82,87.82,135.84,54.26,586.35,27.81,1.06,0.59,2.0,71.77,86.65,24.67,9.92,10.51,3.99,5.78,5.85,20.55,4.55,25.52,173.2,14.04,28.74,13.04,6.64,5.34,32.12,9.13,4.89,11.25
Ferrara,FE,6.3,12.19,8.04,36.43,12.73,13.04,13.04,17.26,32.27,23.91,12.45,0.0,0.0,0.0,12.19,0.0,12.19,13.74,13.74,0.0,4.96,4.86,6.3,5.27,5.01,0.0,5.75,8.34,0.0,4.87,0.72,3.5,7.69,7.02,8.69
Forlì Cesena,FC,18.35,157.96,10.22,758.5,5.42,4.11,4.11,96.54,4.82,0.0,122.75,25.28,25.28,0.0,8.97,8.72,11.0,5.56,5.56,0.0,5.68,5.0,57.28,4.18,5.54,0.0,5.52,5.48,2.67,4.21,0.0,6.48,21.09,21.56,15.49
Modena,MO,14.5,46.13,92.57,29.39,16.94,4.22,4.22,2.75,2.59,0.0,2.85,36.28,36.28,0.0,14.05,13.66,21.59,9.2,9.2,0.0,5.6,5.79,3.04,4.8,10.96,0.0,8.67,6.45,10.28,20.45,15.56,10.07,10.73,12.18,1.99
Parma,PR,18.15,13.83,29.87,0.0,12.56,23.53,23.53,65.44,2.55,0.0,68.94,14.52,14.52,0.0,12.29,12.34,1.25,20.62,20.62,0.0,28.62,5.71,24.17,143.6,19.81,0.0,0.0,6.34,16.09,25.71,1.84,24.84,11.99,10.39,17.32
Piacenza,PC,10.56,21.33,31.62,24.07,17.63,14.92,14.92,19.58,10.95,0.95,22.61,23.75,23.75,0.0,28.31,28.31,0.0,8.92,8.92,0.0,3.91,3.85,6.59,4.01,8.64,0.0,6.45,11.05,0.0,9.87,0.0,7.89,12.96,12.96,0.0
Ravenna,RA,14.0,44.9,86.07,66.9,6.48,0.0,0.0,60.48,0.0,12.24,67.37,297.63,139.57,613.75,11.19,14.0,10.25,13.68,13.68,0.0,7.63,5.65,72.44,9.59,6.53,0.0,8.29,8.14,4.53,5.01,12.28,5.78,13.38,12.24,19.12
Reggio Emilia,RE,12.1,19.66,12.05,7.58,26.8,0.0,0.0,3.64,0.0,4.12,3.48,8.81,8.81,0.0,13.56,12.43,39.83,8.31,8.31,0.0,9.89,4.86,29.54,32.52,10.86,0.0,4.0,4.97,6.24,7.94,0.0,18.27,24.07,26.16,9.45
Rimini,RN,8.44,3.52,2.86,0.0,4.09,23.73,23.73,20.81,7.32,0.0,26.21,3.51,3.51,0.0,4.44,2.94,5.95,6.02,6.02,0.0,7.17,7.35,2.08,6.75,12.54,0.0,12.39,7.09,2.0,14.88,4.98,15.54,14.63,14.63,0.0
