Anno,RS NP (t),RS P (t),RS codice CER ND (t),Totale (t)
2019,11.001.478,386.684,-,11.388.162
2018,8.504.634,368.263,-,8.872.897
2017,9.336.902,355.479,-,9.692.381
2016,9.144.147,319.876,91,9.464.114
2015,7.809.277,323.423,-,8.132.700
2014,8.628.594,304.642,1.867,8.935.103
