Anno,RS NP (t),RS P (t),RS codice CER ND (t),Totale (t)
2019,4.577.364,108.919,-,4.686.283
2018,4.351.873,105.128,-,4.457.001
2017,4.050.492,95.595,-,4.146.087
2016,3.564.571,84.638,1,3.649.210
2015,4.041.030,90.869,-,4.131.899
2014,3.950.683,88.8,-,4.039.483
