Anno;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t)
2019;9.651.114;513.338;-;10.164.452
2018;8.472.049;517.887;-;8.989.936
2017;8.297.001;546.422;-;8.843.423
2016;8.726.444;517.952;-;9.244.396
2015;8.821.678;453.525;-;9.275.203
2014;8.078.054;431.006;20;8.509.080
