Anno;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t)
2019;2.833.816;100.47;-;2.934.286
2018;2.620.509;102.702;-;2.723.211
2017;2.349.348;91.381;-;2.440.729
2016;2.241.189;98.244;16;2.339.449
2015;2.258.295;103.475;7;2.361.777
2014;2.338.747;95.351;1;2.434.099
