Anno,RS NP (t),RS P (t),RS codice CER ND (t),Totale (t)
2019,3.576.086,167.61,-,3.743.696
2018,3.142.252,184.377,-,3.326.629
2017,2.848.222,161.927,-,3.010.149
2016,2.745.737,144.41,-,2.890.147
2015,2.640.150,136.521,-,2.776.671
2014,2.592.295,124.98,-,2.717.275
