Anno,RS NP (t),RS P (t),RS codice CER ND (t),Totale (t)
2019,3.948.862,269.873,-,4.218.735
2018,3.732.183,272.543,-,4.004.726
2017,3.396.485,278.095,-,3.674.580
2016,3.188.140,240.755,-,3.428.895
2015,3.293.541,202.413,-,3.495.954
2014,3.026.638,194.565,-,3.221.203
