Anno;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t)
2019;2.176.201;137.838;-;2.314.039
2018;2.048.856;136.624;-;2.185.480
2017;1.484.624;190.63;-;1.675.254
2016;1.131.153;92.945;-;1.224.098
2015;1.569.589;58.992;-;1.628.581
2014;1.185.416;48.323;-;1.233.739
