Anno;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t)
2019;16.156.053;1.188.962;-;17.345.015
2018;14.733.931;1.152.608;-;15.886.539
2017;14.061.397;1.073.953;-;15.135.350
2016;13.533.378;1.073.688;-;14.607.066
2015;12.950.722;991.771;2;13.942.495
2014;13.189.206;925.537;96;14.114.839
