Anno,RS NP (t),RS P (t),RS codice CER ND (t),Totale (t)
2019,2.730.669,340.279,-,3.070.948
2018,2.296.463,341.547,-,2.638.010
2017,2.261.279,322.555,-,2.583.834
2016,2.226.295,342.02,-,2.568.315
2015,2.310.960,260.972,-,2.571.932
2014,2.332.395,277.935,-,2.610.330
