Anno;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t)
2019;2.030.231;181.853;-;2.212.084
2018;1.725.937;196.394;-;1.922.331
2017;1.983.195;136.312;-;2.119.507
2016;1.858.626;130.109;-;1.988.735
2015;1.934.544;160.423;-;2.094.967
2014;1.483.430;123.166;-;1.606.596
