Anno,RS NP (t),RS P (t),RS codice CER ND (t),Totale (t)
2019,275.487,17.152,-,292.639
2018,309.926,19.264,-,329.19
2017,272.909,18.402,-,291.311
2016,223.199,18.731,-,241.93
2015,609.018,17.43,-,626.448
2014,392.895,17.259,-,410.154
