Anno,RS NP (t),RS P (t),RS codice CER ND (t),Totale (t)
2019,7.046.198,327.109,-,7.373.307
2018,6.926.695,303.306,-,7.230.001
2017,6.774.909,295.637,-,7.070.546
2016,6.535.399,327.392,23,6.862.814
2015,7.021.005,384.521,-,7.405.526
2014,4.878.496,431.746,-,5.310.242
