Anno;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t)
2019;9.641.598;445.225;-;10.086.823
2018;9.314.409;456.496;-;9.770.905
2017;9.863.384;483.348;-;10.346.732
2016;10.040.958;472.747;1;10.513.706
2015;9.595.108;469.686;-;10.064.794
2014;9.552.305;444.031;-;9.996.336
