Anno,RS NP (t),RS P (t),RS codice CER ND (t),Totale (t)
2019,2.649.477,184.931,-,2.834.408
2018,2.172.093,186.586,-,2.358.679
2017,2.282.895,156.315,-,2.439.210
2016,2.031.695,225.826,2,2.257.523
2015,1.937.601,168.048,3,2.105.652
2014,2.515.954,142.586,-,2.658.540
