Anno,RS NP (t),RS P (t),RS codice CER ND (t),Totale (t)
2019,2.840.177,161.09,-,3.001.267
2018,2.897.966,160.043,-,3.058.009
2017,2.683.345,160.552,-,2.843.897
2016,2.473.467,166.697,-,2.640.164
2015,2.256.804,159.014,-,2.415.818
2014,2.062.914,141.254,-,2.204.168
